cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
v32_256k_L14_bs32,v32_256k_L14,32,v32,256k,14,163775,2048,0.913,23.735133333333334,43.57706666666667,0.5446702852876742,19.4621,40.7451,True
v32_256k_L14_bs4,v32_256k_L14,4,v32,256k,14,163775,2048,0.913,19.790666666666667,21.633866666666666,0.9148002514575913,17.737299999999998,20.5405,True
v32_256k_L14_bs512,v32_256k_L14,512,v32,256k,14,163775,2048,0.913,146.41313333333332,387.89706666666666,0.37745357187542533,137.0254,374.1745,True
v32_256k_L14_bs64,v32_256k_L14,64,v32,256k,14,163775,2048,0.913,28.725066666666667,67.08593333333333,0.4281831561310916,22.895799999999998,61.6694,True
v32_256k_L14_bs8,v32_256k_L14,8,v32,256k,14,163775,2048,0.913,22.186400000000003,29.857666666666667,0.7430721311109375,19.0974,28.898799999999998,True
v32_256k_L34_bs1024,v32_256k_L34,1024,v32,256k,34,163775,2048,0.865,259.5766,696.8706,0.37248895275536087,249.52020000000002,678.9103,True
v32_256k_L34_bs128,v32_256k_L34,128,v32,256k,34,163775,2048,0.865,43.81386666666667,112.5128,0.38941228612803763,28.3036,89.1926,True
v32_256k_L34_bs16,v32_256k_L34,16,v32,256k,34,163775,2048,0.865,21.586866666666666,36.123400000000004,0.5975867904645372,18.2015,34.4571,True
v32_256k_L34_bs2,v32_256k_L34,2,v32,256k,34,163775,2048,0.865,18.947933333333335,18.3358,1.033384599163022,17.1294,16.985400000000002,True
v32_256k_L34_bs256,v32_256k_L34,256,v32,256k,34,163775,2048,0.865,80.09733333333332,304.93073333333336,0.2626738618890716,70.2393,296.0605,True
v32_256k_L34_bs32,v32_256k_L34,32,v32,256k,34,163775,2048,0.865,22.811466666666668,42.93913333333333,0.5312512129572559,18.559900000000003,40.332300000000004,True
v32_256k_L34_bs4,v32_256k_L34,4,v32,256k,34,163775,2048,0.865,19.498533333333334,21.778933333333335,0.8952933109671731,17.535700000000002,20.7997,True
v32_256k_L34_bs512,v32_256k_L34,512,v32,256k,34,163775,2048,0.865,145.99713333333332,380.8508,0.38334469386261844,136.3215,366.5363,True
v32_256k_L34_bs64,v32_256k_L34,64,v32,256k,34,163775,2048,0.865,28.012400000000003,65.9448,0.4247855782411957,22.4671,60.6297,True
