cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_512k_L22_bs256,flash_512k_L22,256,flash,512k,22,131075,512,0.057,120.19426666666666,,,109.5123,,
flash_512k_L22_bs32,flash_512k_L22,32,flash,512k,22,131075,512,0.057,26.384866666666664,,,23.0269,,
flash_512k_L22_bs4,flash_512k_L22,4,flash,512k,22,131075,512,0.057,21.458733333333335,,,19.763099999999998,,
flash_512k_L22_bs512,flash_512k_L22,512,flash,512k,22,131075,512,0.057,214.1816,,,204.4519,,
flash_512k_L22_bs64,flash_512k_L22,64,flash,512k,22,131075,512,0.057,34.9542,,,29.8652,,
flash_512k_L22_bs8,flash_512k_L22,8,flash,512k,22,131075,512,0.057,24.012400000000003,,,21.7724,,
flash_512k_L34_bs1024,flash_512k_L34,1024,flash,512k,34,131075,512,0.283,206.46373333333332,,,196.5609,,
flash_512k_L34_bs128,flash_512k_L34,128,flash,512k,34,131075,512,0.283,33.544133333333335,,,21.6477,,
flash_512k_L34_bs16,flash_512k_L34,16,flash,512k,34,131075,512,0.283,17.371333333333332,,,14.5151,,
flash_512k_L34_bs2,flash_512k_L34,2,flash,512k,34,131075,512,0.283,15.227666666666666,,,13.5039,,
flash_512k_L34_bs256,flash_512k_L34,256,flash,512k,34,131075,512,0.283,64.5752,,,54.4219,,
flash_512k_L34_bs32,flash_512k_L34,32,flash,512k,34,131075,512,0.283,18.52146666666667,,,15.088,,
flash_512k_L34_bs4,flash_512k_L34,4,flash,512k,34,131075,512,0.283,15.617866666666666,,,13.9006,,
flash_512k_L34_bs512,flash_512k_L34,512,flash,512k,34,131075,512,0.283,114.789,,,103.9315,,
flash_512k_L34_bs64,flash_512k_L34,64,flash,512k,34,131075,512,0.283,24.266333333333332,,,18.732599999999998,,
flash_512k_L34_bs8,flash_512k_L34,8,flash,512k,34,131075,512,0.283,16.80633333333333,,,14.4542,,
flash_64k_L10_bs1024,flash_64k_L10,1024,flash,64k,10,16387,512,0.582,49.38386666666667,,,40.4955,,
flash_64k_L10_bs128,flash_64k_L10,128,flash,64k,10,16387,512,0.582,12.375333333333334,,,9.6476,,
flash_64k_L10_bs16,flash_64k_L10,16,flash,64k,10,16387,512,0.582,10.685733333333333,,,9.152,,
flash_64k_L10_bs2,flash_64k_L10,2,flash,64k,10,16387,512,0.582,10.1866,,,8.7872,,
flash_64k_L10_bs256,flash_64k_L10,256,flash,64k,10,16387,512,0.582,15.351266666666666,,,12.306799999999999,,
