scenario,K,dtype,N,BS,hit_rate,layer,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op25_hls_cold_us,op25_hls_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_v2_cold_us,sglang_v2_warm_us,flashinfer_topk_cold_us,flashinfer_topk_warm_us,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_radix_cutedsl,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op25_hls,speedup_vs_base_op27_hls,speedup_vs_base_op26_r0auto,speedup_vs_base_sglang_v2,speedup_vs_base_flashinfer_topk,mc_cluster_size,op25_ms_path,op27_ms_path,r0_arm,sglang_v2_cold_span_us
worst,1024,fp32,65536,1,0.8496,38,21.605,19.871,18.891,17.048,20.218,19.519,46.221,37.154,43.808,39.831,14.05,12.565,14.445,12.73,14.07,12.584,9.454,8.472,13.278,12.273,1.144,1.069,0.467,0.493,1.538,1.496,1.535,2.285,1.627,4,msc_C8,msc_C8,mc,9.454
worst,1024,fp32,131072,1,0.8496,26,25.069,22.855,16.643,15.433,19.899,19.212,75.19,57.77,46.2,41.455,15.227,13.498,15.224,13.632,15.064,13.81,10.95,9.577,14.595,12.916,1.506,1.26,0.333,0.543,1.646,1.647,1.664,2.289,1.718,4,msc_C8,msc_C8,mc,10.95
worst,1024,fp32,262144,1,0.8496,58,89.277,85.938,40.216,38.923,20.128,19.316,132.638,98.045,51.653,45.145,17.25,15.887,17.158,15.782,18.243,16.74,14.682,12.53,19.338,16.576,2.22,4.435,0.673,1.728,5.176,5.203,4.894,6.081,4.617,4,msc_C8,msc_C8,mc,14.682
worst,1024,fp32,524288,1,0.8496,26,69.152,63.919,31.616,29.563,20.021,19.098,246.633,177.955,66.625,56.347,20.219,18.736,19.971,18.53,24.474,22.62,20.493,16.938,26.464,21.546,2.187,3.454,0.28,1.038,3.42,3.463,2.826,3.374,2.613,4,msc_C8,msc_C8,mc,20.493
worst,1024,fp32,1048576,1,0.8496,46,117.605,109.089,41.099,37.834,20.749,19.582,474.906,337.56,91.778,72.965,26.682,24.902,26.632,24.721,36.249,33.562,32.061,25.516,40.745,31.773,2.861,5.668,0.248,1.281,4.408,4.416,3.244,3.668,2.886,4,msc_C8,msc_C8,mc,32.061
worst,2048,bf16,8192,1,0.8501,21,13.726,12.119,13.578,12.212,6.534,5.906,15.723,14.674,25.677,21.546,13.395,11.973,13.339,11.974,13.544,12.205,,,,,1.011,2.101,0.873,0.535,1.025,1.029,1.013,,,1,ms_1cta,ms_1cta,plain,
worst,2048,bf16,16384,1,0.8501,20,14.95,13.177,14.125,12.831,9.826,9.301,18.934,17.541,28.552,24.637,22.661,15.487,20.168,15.471,12.226,11.129,,,,,1.058,1.522,0.79,0.524,0.66,0.741,1.223,,,1,ms_1cta,ms_1cta,1cta,
worst,2048,bf16,32768,1,0.8501,22,15.405,14.348,15.861,14.627,14.962,13.928,25.394,23.325,43.408,39.212,25.773,18.063,24.864,18.017,16.789,12.964,,,,,0.971,1.03,0.607,0.355,0.598,0.62,0.918,,,1,ms_1cta,ms_1cta,1cta,
worst,2048,bf16,65536,1,0.8501,41,22.389,21.082,20.605,18.748,14.646,13.751,35.981,32.667,44.152,39.953,24.805,19.196,24.259,19.175,15.838,13.853,,,,,1.087,1.529,0.622,0.507,0.903,0.923,1.414,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,131072,1,0.8501,21,32.435,30.89,21.838,20.295,15.261,14.406,58.382,50.794,47.779,43.066,21.885,19.839,21.33,19.77,17.709,15.768,,,,,1.485,2.125,0.556,0.679,1.482,1.521,1.832,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,262144,1,0.8501,21,58.64,56.669,30.435,28.71,14.771,14.056,96.528,82.065,52.576,47.031,24.011,22.051,24.019,22.045,20.595,18.943,,,,,1.927,3.97,0.607,1.115,2.442,2.441,2.847,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,524288,1,0.8501,41,89.699,87.419,38.49,36.517,15.056,14.093,174.203,145.504,60.822,54.012,31.283,26.026,30.397,25.914,26.52,24.695,,,,,2.33,5.958,0.515,1.475,2.867,2.951,3.382,,,4,msc_C8,msc_C8,mc,
worst,2048,bf16,1048576,1,0.8501,40,166.411,163.361,60.392,57.594,15.47,14.107,334.642,277.461,79.912,70.501,41.338,33.265,40.347,33.389,39.696,37.201,,,,,2.756,10.757,0.497,2.082,4.026,4.124,4.192,,,4,msc_C8,msc_C8,mc,
worst,2048,fp16,8192,1,0.8501,21,14.592,13.087,14.571,13.21,6.482,5.88,15.792,14.768,24.608,21.729,13.741,12.319,13.619,12.331,14.448,13.174,,,,,1.001,2.251,0.924,0.593,1.062,1.071,1.01,,,1,ms_1cta,ms_1cta,plain,
worst,2048,fp16,16384,1,0.8501,20,14.92,13.414,14.75,13.127,9.746,9.164,19.157,17.732,27.706,24.973,18.048,15.558,18.002,15.588,14.262,11.934,,,,,1.011,1.531,0.779,0.539,0.827,0.829,1.046,,,1,ms_1cta,ms_1cta,1cta,
worst,2048,fp16,32768,1,0.8501,22,16.01,14.971,17.083,15.472,14.646,13.626,25.536,23.423,42.429,39.392,29.411,20.648,28.877,20.634,8.856,7.754,,,,,0.937,1.093,0.627,0.377,0.544,0.554,1.808,,,1,ms_1cta,ms_1cta,1cta,
