cell,BS,arm_us,pr_us,x_arm,x_v3,exact
pro_16k_L46,64,15.839,9.70075,0.6125,1.2744,OK
pro_16k_L46,128,16.073,10.007950000000001,0.6227,1.2697,OK
pro_16k_L46,256,19.9,11.73915,0.5899,0.9694,OK
pro_16k_L46,512,35.304,21.17105,0.5997,0.9695,OK
pro_16k_L46,1024,55.396,38.906949999999995,0.7023,0.9761,OK
pro_256k_L14,2,24.687,14.492700000000001,0.5871,1.4037,OK
pro_256k_L14,4,24.695,14.54385,0.5889,1.362,OK
pro_256k_L14,8,25.274,14.948649999999999,0.5915,1.3608,OK
pro_256k_L14,16,27.253,15.33105,0.5625,0.9881,OK
pro_256k_L14,32,28.515,16.18225,0.5675,1.1088,OK
pro_256k_L14,64,31.521,18.6158,0.5906,1.0366,OK
pro_256k_L14,128,35.8,20.86695,0.5829,0.9291,OK
pro_256k_L14,256,45.542,32.5373,0.7144,0.9025,OK
pro_256k_L14,512,81.452,61.887449999999994,0.7598,0.933,OK
pro_256k_L14,1024,131.878,103.7718,0.7869,0.9719,OK
pro_256k_L30,2,25.424,13.6591,0.5373,1.1871,OK
pro_256k_L30,4,25.804,14.21425,0.5509,1.2162,OK
pro_256k_L30,8,26.931,14.59825,0.5421,1.1996,OK
pro_256k_L30,16,27.608,14.823649999999999,0.5369,0.9518,OK
pro_256k_L30,32,29.267,15.844299999999999,0.5414,1.0553,OK
pro_256k_L30,64,32.103,18.5422,0.5776,1.0306,OK
pro_256k_L30,128,36.175,20.58205,0.569,0.9264,OK
pro_256k_L30,256,45.396,32.313,0.7118,0.8704,OK
pro_256k_L30,512,81.493,61.3527,0.7529,0.8924,OK
pro_256k_L30,1024,134.367,101.69765,0.7569,0.9164,OK
pro_256k_L46,2,26.192,14.08625,0.5378,1.3452,OK
pro_256k_L46,4,26.172,14.6031,0.558,1.383,OK
pro_256k_L46,8,26.895,15.01595,0.5583,1.3787,OK
pro_256k_L46,16,28.823,15.27015,0.5298,0.9977,OK
pro_256k_L46,32,29.602,16.2381,0.5485,1.1178,OK
pro_256k_L46,64,32.374,18.8831,0.5833,1.06,OK
pro_256k_L46,128,37.056,20.75025,0.56,0.9829,OK
pro_256k_L46,256,47.033,32.68775,0.695,0.9591,OK
pro_256k_L46,512,84.089,62.484300000000005,0.7431,0.9937,OK
pro_256k_L46,1024,136.4,103.71435000000001,0.7604,1.0081,OK
pro_32k_L14,2,23.176,11.3903,0.4915,1.4847,OK
pro_32k_L14,4,24.0,11.444700000000001,0.4769,1.4888,OK
pro_32k_L14,8,24.32,11.44155,0.4705,1.4802,OK
pro_32k_L14,16,24.96,11.657549999999999,0.467,1.4646,OK
pro_32k_L14,32,25.319,11.73105,0.4633,1.4268,OK
pro_32k_L14,64,25.586,11.9662,0.4677,1.412,OK
pro_32k_L14,128,28.263,12.510200000000001,0.4426,1.4054,OK
pro_32k_L14,256,31.636,14.90865,0.4713,1.2251,OK
pro_32k_L14,512,51.883,27.4525,0.5291,1.302,OK
pro_32k_L14,1024,81.129,50.538650000000004,0.6229,1.3686,OK
pro_32k_L30,2,24.158,10.6238,0.4398,1.3099,OK
pro_32k_L30,4,25.242,10.7887,0.4274,1.3198,OK
pro_32k_L30,8,24.913,10.80945,0.4339,1.3114,OK
pro_32k_L30,16,25.155,11.04785,0.4392,1.3406,OK
pro_32k_L30,32,25.296,11.35345,0.4488,1.3516,OK
pro_32k_L30,64,25.234,11.5438,0.4575,1.3468,OK
pro_32k_L30,128,27.954,12.05575,0.4313,1.3419,OK
pro_32k_L30,256,31.66,14.82545,0.4683,1.1077,OK
pro_32k_L30,512,52.281,26.927599999999998,0.5151,1.1518,OK
pro_32k_L30,1024,80.81,48.85535,0.6046,1.1775,OK
