scenario,sweep,K,dtype,N,BS,r0_arm,op26r_cold_us_local,op26r_warm_us_local,base_cold_us_local,base_warm_us_local,radix_cold_us_local,radix_warm_us_local,speedup_vs_base_same_node_cold,speedup_vs_radix_same_node_cold
best,bs,512,fp16,4096,16,plain,11.59,10.353,11.274,10.289,5.552,4.784,0.9727,0.479
best,bs,512,fp16,4096,32,plain,11.592,10.516,11.485,10.447,5.661,4.867,0.9908,0.4884
best,bs,512,fp16,4096,64,plain,11.778,10.566,11.659,10.511,5.755,4.905,0.9899,0.4886
best,bs,512,fp16,4096,128,plain,12.061,10.806,11.907,10.714,6.093,5.11,0.9872,0.5052
best,bs,512,fp16,4096,256,plain,11.566,10.253,14.834,13.568,10.331,8.827,1.2826,0.8932
best,bs,512,fp16,4096,512,plain,19.938,17.98,25.162,23.441,18.84,16.316,1.262,0.9449
best,bs,512,fp16,4096,1024,plain,30.49,28.065,39.442,37.685,31.53,27.686,1.2936,1.0341
best,bs,512,fp16,4096,2048,plain,54.631,51.366,73.003,70.365,61.635,53.7,1.3363,1.1282
best,bs,512,fp16,8192,1,plain,13.616,12.49,13.686,12.371,6.31,5.603,1.0051,0.4634
best,bs,512,fp16,8192,2,plain,13.603,12.467,14.013,12.344,6.224,5.624,1.0301,0.4575
best,bs,512,fp16,8192,4,plain,13.77,12.609,14.159,12.486,6.338,5.658,1.0282,0.4603
best,bs,512,fp16,8192,8,plain,13.995,12.637,13.963,12.504,6.387,5.679,0.9977,0.4564
best,bs,512,fp16,8192,16,plain,14.429,13.007,14.269,12.865,6.829,6.057,0.9889,0.4733
best,bs,512,fp16,8192,32,plain,14.574,13.164,14.331,13.04,6.917,6.135,0.9833,0.4746
