scenario,K,N,arm,us_cold,us_warm
best,512,131072,gvr_cutedsl,24.185599999999997,22.01088
best,512,131072,radix_cutedsl,18.940849999999998,18.20864
best,512,131072,gvr_multicta_cutedsl,16.664,15.36064
best,512,131072,radix_single_cuda,70.336,53.27556
best,512,131072,radix_multi_cuda,42.416050000000006,36.686099999999996
best,512,131072,op27_hls,20.24805,18.84482
best,512,131072,op26_r0auto,15.16165,13.71458
best,512,131072,sglang_v2,10.912,9.54496
best,512,131072,flashinfer_topk,14.76,13.07456
best,512,262144,gvr_cutedsl,38.8128,35.11042
best,512,262144,radix_cutedsl,19.10725,18.37568
best,512,262144,gvr_multicta_cutedsl,21.4496,19.49184
best,512,262144,radix_single_cuda,127.136,93.10022000000001
best,512,262144,radix_multi_cuda,48.34725,41.33636
best,512,262144,op27_hls,16.9056,15.64418
best,512,262144,op26_r0auto,18.5152,16.52866
best,512,262144,sglang_v2,15.1392,13.072659999999999
best,512,262144,flashinfer_topk,18.936049999999998,16.1389
best,512,524288,gvr_cutedsl,64.3344,58.625980000000006
best,512,524288,radix_cutedsl,19.2,18.39296
best,512,524288,gvr_multicta_cutedsl,27.056,24.5664
best,512,524288,radix_single_cuda,239.6946,171.96426
best,512,524288,radix_multi_cuda,61.328,50.37314
best,512,524288,op27_hls,27.328,26.0525
best,512,524288,op26_r0auto,24.24,21.681919999999998
best,512,524288,sglang_v2,21.3328,17.777939999999997
best,512,524288,flashinfer_topk,25.3312,20.357779999999998
best,512,1048576,gvr_cutedsl,117.64965,108.52676
best,512,1048576,radix_cutedsl,20.089599999999997,18.709139999999998
best,512,1048576,gvr_multicta_cutedsl,41.731199999999994,38.112019999999994
best,512,1048576,radix_single_cuda,465.6707,330.79126
best,512,1048576,radix_multi_cuda,86.33930000000001,67.66532000000001
best,512,1048576,op27_hls,39.35845,37.91426
best,512,1048576,op26_r0auto,36.74085,33.179559999999995
best,512,1048576,sglang_v2,32.6208,26.30912
best,512,1048576,flashinfer_topk,40.79525,31.777279999999998
best,1024,4096,gvr_cutedsl,10.7696,9.15072
best,1024,4096,radix_cutedsl,6.464,5.942399999999999
best,1024,4096,gvr_multicta_cutedsl,10.67045,9.095040000000001
best,1024,4096,radix_single_cuda,15.2352,14.22016
best,1024,4096,radix_multi_cuda,36.49285,32.8218
best,1024,4096,op27_hls,11.2272,9.95906
best,1024,4096,op26_r0auto,10.416049999999998,8.92608
best,1024,4096,sglang_v2,4.9552,4.22464
best,1024,4096,flashinfer_topk,7.3264,6.866560000000001
best,1024,8192,gvr_cutedsl,19.1232,17.873279999999998
best,1024,8192,radix_cutedsl,8.1312,7.44768
best,1024,8192,gvr_multicta_cutedsl,19.089599999999997,17.8733
best,1024,8192,radix_single_cuda,17.5728,15.691540000000002
best,1024,8192,radix_multi_cuda,37.69285,33.46754
best,1024,8192,op27_hls,12.5504,11.46688
best,1024,8192,op26_r0auto,11.1488,9.72802
best,1024,8192,sglang_v2,5.6256,4.91008
best,1024,8192,flashinfer_topk,11.688049999999999,11.04064
best,1024,16384,gvr_cutedsl,17.177599999999998,15.669780000000001
best,1024,16384,radix_cutedsl,11.5168,10.73602
best,1024,16384,gvr_multicta_cutedsl,17.2544,15.69216
best,1024,16384,radix_single_cuda,20.942400000000003,18.1312
best,1024,16384,radix_multi_cuda,39.352050000000006,35.1706
best,1024,16384,op27_hls,15.556799999999999,14.29698
best,1024,16384,op26_r0auto,11.8768,10.34432
best,1024,16384,sglang_v2,7.4336,6.3296
best,1024,16384,flashinfer_topk,11.964799999999999,11.0093
best,1024,32768,gvr_cutedsl,23.5152,21.664
best,1024,32768,radix_cutedsl,19.300849999999997,18.81026
best,1024,32768,gvr_multicta_cutedsl,23.5792,21.66464
best,1024,32768,radix_single_cuda,27.750400000000003,23.50338
best,1024,32768,radix_multi_cuda,40.7473,36.515879999999996
best,1024,32768,op27_hls,15.6128,14.05698
best,1024,32768,op26_r0auto,14.443200000000001,12.45056
best,1024,32768,sglang_v2,11.284799999999999,8.9709
best,1024,32768,flashinfer_topk,12.1648,11.53984
best,1024,65536,gvr_cutedsl,20.07845,18.1178
best,1024,65536,radix_cutedsl,19.3872,18.64642
best,1024,65536,gvr_multicta_cutedsl,17.716849999999997,15.623700000000001
best,1024,65536,radix_single_cuda,44.254400000000004,35.212199999999996
best,1024,65536,radix_multi_cuda,42.48645,38.12292
best,1024,65536,op27_hls,15.9088,14.20992
best,1024,65536,op26_r0auto,14.731200000000001,12.8544
best,1024,65536,sglang_v2,9.8992,8.704
best,1024,65536,flashinfer_topk,13.0432,12.10624
best,1024,131072,gvr_cutedsl,26.58245,24.254099999999998
best,1024,131072,radix_cutedsl,19.3008,18.6298
best,1024,131072,gvr_multicta_cutedsl,18.86725,17.44256
best,1024,131072,radix_single_cuda,72.3489,54.97158
best,1024,131072,radix_multi_cuda,45.2464,39.955239999999996
best,1024,131072,op27_hls,16.0224,14.37632
best,1024,131072,op26_r0auto,15.1616,13.729280000000001
