scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_sglang_streaming,mc_cluster_size
best,512,fp32,524288,16,66.439,59.927,25.368,22.975,24.736,22.709,56.474,53.075,31.633,26.128,148.392,149.868,2.619,2.6859,1.1765,2.1003,0.4477,4
best,512,fp32,524288,32,75.338,60.097,28.755,23.572,27.475,23.33,109.778,104.298,49.411,38.92,149.076,150.189,2.62,2.7421,0.6863,1.5247,0.5054,2
best,512,fp32,524288,64,110.88,99.864,58.917,57.518,59.498,58.495,194.322,189.542,84.751,73.907,150.595,149.203,1.882,1.8636,0.5706,1.3083,0.7363,2
best,512,fp32,1048576,2,118.093,108.69,35.526,33.42,35.525,33.559,23.999,22.123,42.01,38.228,287.98,291.595,3.3241,3.3242,4.9207,2.8111,0.4101,4
best,512,fp32,1048576,4,118.461,108.746,35.995,33.822,35.89,33.883,30.826,28.469,42.502,38.232,287.975,291.422,3.291,3.3007,3.8429,2.7872,0.4114,4
best,512,fp32,1048576,8,118.639,108.895,36.314,33.989,36.282,34.206,58.013,55.068,43.651,38.457,288.105,291.571,3.267,3.2699,2.045,2.7179,0.4118,4
best,512,fp32,1048576,16,133.506,114.462,37.712,34.105,37.152,34.311,113.103,108.141,53.755,40.763,288.473,291.931,3.5401,3.5935,1.1804,2.4836,0.4628,4
best,512,fp32,1048576,32,181.25,171.958,43.288,38.796,40.859,37.622,221.855,218.15,105.454,94.385,289.199,289.061,4.1871,4.436,0.817,1.7188,0.6267,2
best,512,fp32,1048576,64,203.141,188.8,106.21,105.155,106.767,105.918,437.775,434.494,156.88,133.78,290.52,289.629,1.9126,1.9027,0.464,1.2949,0.6992,2
best,1024,bf16,4096,1,9.91,8.497,9.427,8.333,9.549,8.364,5.579,4.918,9.691,8.425,,,1.0512,1.0378,1.7763,1.0226,,1
best,1024,bf16,4096,2,9.301,8.482,9.234,8.313,9.251,8.369,5.613,4.948,9.405,8.417,,,1.0073,1.0054,1.657,0.9889,,1
