scenario,sweep,K,dtype,N,BS,op,radix_cold_us_local,radix_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,512,bf16,1048576,4,radix_multi_cuda,70.835,61.673,113.133,109.72,1.5971
best,bs,512,bf16,1048576,8,radix_multi_cuda,70.969,61.832,113.263,109.841,1.596
best,bs,512,bf16,1048576,16,radix_multi_cuda,74.875,65.56,113.868,109.857,1.5208
best,bs,512,bf16,1048576,32,radix_multi_cuda,90.628,84.387,116.13,109.973,1.2814
best,bs,512,bf16,1048576,64,radix_multi_cuda,153.067,145.599,134.059,126.303,0.8758
best,bs,512,fp16,4096,1,radix_multi_cuda,34.583,30.532,11.31,9.961,0.327
best,bs,512,fp16,4096,2,radix_multi_cuda,33.4,30.476,11.133,9.968,0.3333
best,bs,512,fp16,4096,4,radix_multi_cuda,33.48,30.882,11.157,9.978,0.3332
best,bs,512,fp16,4096,8,radix_multi_cuda,34.26,31.344,11.094,9.973,0.3238
best,bs,512,fp16,4096,16,radix_multi_cuda,34.075,31.96,11.368,10.315,0.3336
best,bs,512,fp16,4096,32,radix_multi_cuda,34.851,32.161,11.427,10.452,0.3279
best,bs,512,fp16,4096,64,radix_multi_cuda,34.299,32.366,11.624,10.504,0.3389
best,bs,512,fp16,4096,128,radix_multi_cuda,41.119,39.596,11.95,10.679,0.2906
best,bs,512,fp16,4096,256,radix_multi_cuda,75.589,73.532,14.795,13.495,0.1957
best,bs,512,fp16,4096,512,radix_multi_cuda,133.563,132.328,25.169,23.373,0.1884
best,bs,512,fp16,4096,1024,radix_multi_cuda,244.411,242.626,39.372,37.431,0.1611
best,bs,512,fp16,4096,2048,radix_multi_cuda,479.3,479.07,73.127,70.071,0.1526
