model,isl,L,K,npad,h,onepass6,onepass8,best_c
v32,64k,39,2048,65600,0.447,1,1,2465
v32,64k,40,2048,65600,0.513,1,1,3119
v32,64k,41,2048,65600,0.595,1,1,2265
v32,64k,42,2048,65600,0.586,1,1,2264
v32,64k,43,2048,65600,0.396,1,1,3254
v32,64k,44,2048,65600,0.792,1,1,2729
v32,64k,45,2048,65600,0.579,1,1,2492
v32,64k,46,2048,65600,0.399,1,1,3525
v32,64k,47,2048,65600,0.496,1,1,2086
v32,64k,48,2048,65600,0.609,1,1,2138
v32,64k,49,2048,65600,0.608,1,1,2193
v32,64k,50,2048,65600,0.444,1,1,2616
v32,64k,51,2048,65600,0.674,1,1,2616
v32,64k,52,2048,65600,0.784,1,1,2874
v32,64k,53,2048,65600,0.726,1,1,2232
v32,64k,54,2048,65600,0.745,1,1,2076
v32,64k,55,2048,65600,0.771,1,1,2870
v32,64k,56,2048,65600,0.810,1,1,2470
v32,64k,57,2048,65600,0.755,1,1,3068
v32,64k,58,2048,65600,0.865,1,1,2088
v32,64k,59,2048,65600,0.869,1,1,2076
v32,64k,60,2048,65600,0.875,0,0,8735
