family,sweep,scenario,model,op,K,dtype,N,BS,isl,cr,hit,us,us_span,exact
real,bs,,flash,flashinfer_topk,512,bf16,8195,1024,32k,4,0.685546875,31.857650000000003,31.857650000000003,True
real,bs,,flash,gvr_base,512,bf16,8195,1024,32k,4,0.685546875,38.906949999999995,38.906949999999995,True
real,bs,,flash,gvr_pr,512,bf16,8195,1024,32k,4,0.685546875,29.771,29.771,True
real,bs,,flash,op26_r0auto,512,bf16,8195,1024,32k,4,0.685546875,34.09425,34.09425,
real,bs,,flash,radix_cutedsl,512,bf16,8195,1024,32k,4,0.685546875,43.61925,43.61925,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,1,64k,4,0.076171875,8.945649999999999,8.945649999999999,True
real,bs,,flash,gvr_base,512,bf16,16387,1,64k,4,0.076171875,12.220799999999999,12.220799999999999,True
real,bs,,flash,gvr_pr,512,bf16,16387,1,64k,4,0.076171875,11.8799,11.8799,True
real,bs,,flash,op26_r0auto,512,bf16,16387,1,64k,4,0.076171875,13.615950000000002,13.615950000000002,
real,bs,,flash,radix_cutedsl,512,bf16,16387,1,64k,4,0.076171875,13.9216,13.9216,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,2,64k,4,0.076171875,8.99685,8.99685,True
real,bs,,flash,gvr_base,512,bf16,16387,2,64k,4,0.076171875,12.15985,12.15985,True
real,bs,,flash,gvr_pr,512,bf16,16387,2,64k,4,0.076171875,11.68615,11.68615,True
real,bs,,flash,op26_r0auto,512,bf16,16387,2,64k,4,0.076171875,13.350299999999999,13.350299999999999,
real,bs,,flash,radix_cutedsl,512,bf16,16387,2,64k,4,0.076171875,14.0432,14.0432,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,4,64k,4,0.076171875,8.98085,8.98085,True
real,bs,,flash,gvr_base,512,bf16,16387,4,64k,4,0.076171875,12.0863,12.0863,True
real,bs,,flash,gvr_pr,512,bf16,16387,4,64k,4,0.076171875,11.655850000000001,11.655850000000001,True
real,bs,,flash,op26_r0auto,512,bf16,16387,4,64k,4,0.076171875,13.279950000000001,13.279950000000001,
real,bs,,flash,radix_cutedsl,512,bf16,16387,4,64k,4,0.076171875,14.6736,14.6736,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,8,64k,4,0.076171875,9.13125,9.13125,True
real,bs,,flash,gvr_base,512,bf16,16387,8,64k,4,0.076171875,12.1454,12.1454,True
real,bs,,flash,gvr_pr,512,bf16,16387,8,64k,4,0.076171875,11.92315,11.92315,True
real,bs,,flash,op26_r0auto,512,bf16,16387,8,64k,4,0.076171875,13.40625,13.40625,
real,bs,,flash,radix_cutedsl,512,bf16,16387,8,64k,4,0.076171875,14.92,14.92,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,16,64k,4,0.076171875,11.2928,11.2928,True
real,bs,,flash,gvr_base,512,bf16,16387,16,64k,4,0.076171875,12.41915,12.41915,True
real,bs,,flash,gvr_pr,512,bf16,16387,16,64k,4,0.076171875,12.011149999999999,12.011149999999999,True
real,bs,,flash,op26_r0auto,512,bf16,16387,16,64k,4,0.076171875,13.55355,13.55355,
real,bs,,flash,radix_cutedsl,512,bf16,16387,16,64k,4,0.076171875,15.16005,15.16005,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,32,64k,4,0.076171875,11.72965,11.72965,True
real,bs,,flash,gvr_base,512,bf16,16387,32,64k,4,0.076171875,12.76315,12.76315,True
real,bs,,flash,gvr_pr,512,bf16,16387,32,64k,4,0.076171875,12.32315,12.32315,True
real,bs,,flash,op26_r0auto,512,bf16,16387,32,64k,4,0.076171875,13.9854,13.9854,
real,bs,,flash,radix_cutedsl,512,bf16,16387,32,64k,4,0.076171875,15.284799999999999,15.284799999999999,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,64,64k,4,0.076171875,11.43525,11.43525,True
real,bs,,flash,gvr_base,512,bf16,16387,64,64k,4,0.076171875,12.908700000000001,12.908700000000001,True
real,bs,,flash,gvr_pr,512,bf16,16387,64,64k,4,0.076171875,12.5086,12.5086,True
real,bs,,flash,op26_r0auto,512,bf16,16387,64,64k,4,0.076171875,14.07355,14.07355,
real,bs,,flash,radix_cutedsl,512,bf16,16387,64,64k,4,0.076171875,10.510399999999999,10.510399999999999,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,128,64k,4,0.076171875,13.345600000000001,13.345600000000001,True
real,bs,,flash,gvr_base,512,bf16,16387,128,64k,4,0.076171875,13.387049999999999,13.387049999999999,True
real,bs,,flash,gvr_pr,512,bf16,16387,128,64k,4,0.076171875,12.9406,12.9406,True
real,bs,,flash,op26_r0auto,512,bf16,16387,128,64k,4,0.076171875,14.7087,14.7087,
real,bs,,flash,radix_cutedsl,512,bf16,16387,128,64k,4,0.076171875,11.076799999999999,11.076799999999999,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,256,64k,4,0.076171875,15.0881,15.0881,True
real,bs,,flash,gvr_base,512,bf16,16387,256,64k,4,0.076171875,17.3119,17.3119,True
real,bs,,flash,gvr_pr,512,bf16,16387,256,64k,4,0.076171875,16.0815,16.0815,True
real,bs,,flash,op26_r0auto,512,bf16,16387,256,64k,4,0.076171875,17.81905,17.81905,
real,bs,,flash,radix_cutedsl,512,bf16,16387,256,64k,4,0.076171875,19.61925,19.61925,True
real,bs,,flash,flashinfer_topk,512,bf16,16387,512,64k,4,0.076171875,26.77925,26.77925,True
