model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,32k,34,fp32,32783,1,256,0.42919921875,32.292049999999996,26.1037,29.28935,1.237,1.122,True
v32,32k,34,fp32,32783,1,512,0.42919921875,61.68085,49.1466,55.000949999999996,1.255,1.119,True
v32,32k,34,fp32,32783,1,1024,0.42919921875,108.8246,86.3334,86.3926,1.261,1.001,True
v32,64k,34,bf16,65551,4,1,0.40673828125,28.36295,23.5533,24.66535,1.204,1.047,True
v32,64k,34,bf16,65551,4,2,0.40673828125,28.330849999999998,23.2398,24.423849999999998,1.219,1.051,True
v32,64k,34,bf16,65551,4,4,0.40673828125,28.25245,23.075,24.48595,1.224,1.061,True
v32,64k,34,bf16,65551,4,8,0.40673828125,28.64605,23.3293,24.72745,1.228,1.06,True
v32,64k,34,bf16,65551,4,16,0.40673828125,28.822,23.462,24.892599999999998,1.228,1.061,True
v32,64k,34,bf16,65551,4,32,0.40673828125,29.58995,23.8573,26.8493,1.24,1.125,True
v32,64k,34,bf16,65551,2,64,0.40673828125,34.680949999999996,27.8507,27.574150000000003,1.245,0.99,True
v32,64k,34,bf16,65551,1,128,0.40673828125,31.91325,27.60395,29.18515,1.156,1.057,True
v32,64k,34,bf16,65551,1,256,0.40673828125,53.265,44.82185,49.9786,1.188,1.115,True
v32,64k,34,bf16,65551,1,512,0.40673828125,93.60375,77.8822,88.38135000000001,1.202,1.135,True
v32,64k,34,bf16,65551,1,1024,0.40673828125,150.41415,124.8684,141.91045000000003,1.205,1.136,True
v32,64k,34,fp16,65551,4,1,0.40625,27.487599999999997,22.55,23.790200000000002,1.219,1.055,True
v32,64k,34,fp16,65551,4,2,0.40625,27.777150000000002,22.4332,23.7197,1.238,1.057,True
v32,64k,34,fp16,65551,4,4,0.40625,28.0525,22.8156,24.5197,1.23,1.075,True
v32,64k,34,fp16,65551,4,8,0.40625,28.2924,23.08925,24.59655,1.225,1.065,True
v32,64k,34,fp16,65551,4,16,0.40625,28.4333,23.17565,24.53255,1.227,1.059,True
v32,64k,34,fp16,65551,4,32,0.40625,29.25235,23.61405,26.291,1.239,1.113,True
v32,64k,34,fp16,65551,2,64,0.40625,34.4252,27.61395,27.3228,1.247,0.989,True
v32,64k,34,fp16,65551,1,128,0.40625,31.372349999999997,27.197950000000002,28.77395,1.153,1.058,True
v32,64k,34,fp16,65551,1,256,0.40625,52.535199999999996,43.924150000000004,48.31765,1.196,1.1,True
v32,64k,34,fp16,65551,1,512,0.40625,91.56335,75.56689999999999,85.67245,1.212,1.134,True
v32,64k,34,fp16,65551,1,1024,0.40625,146.457,121.31989999999999,137.2252,1.207,1.131,True
v32,64k,34,fp32,65551,4,1,0.40625,31.2748,20.1885,18.02375,1.549,0.893,True
v32,64k,34,fp32,65551,4,2,0.40625,32.14685,20.48945,18.34225,1.569,0.895,True
v32,64k,34,fp32,65551,4,4,0.40625,32.1374,20.83805,18.62695,1.542,0.894,True
v32,64k,34,fp32,65551,4,8,0.40625,32.4511,21.019,19.0014,1.544,0.904,True
v32,64k,34,fp32,65551,4,16,0.40625,32.9484,21.348650000000003,19.27975,1.543,0.903,True
