model,isl,N,K,L,hit,op,us,us_span,exact
flash,4k,1027,512,22,0.639,radix_cutedsl,5.9696,5.9696,True
flash,4k,1027,512,22,0.639,sglang_v2,4.6911,4.6911,True
flash,4k,1027,512,22,0.639,flashinfer_topk,6.5632,6.5632,True
flash,4k,1027,512,24,0.553,radix_cutedsl,5.8511,5.8511,True
flash,4k,1027,512,24,0.553,sglang_v2,4.7407,4.7407,True
flash,4k,1027,512,24,0.553,flashinfer_topk,6.6559,6.6559,True
flash,4k,1027,512,26,0.586,radix_cutedsl,5.8415,5.8415,True
flash,4k,1027,512,26,0.586,sglang_v2,4.7344,4.7344,True
flash,4k,1027,512,26,0.586,flashinfer_topk,6.5694,6.5694,True
flash,4k,1027,512,28,0.746,radix_cutedsl,5.8319,5.8319,True
flash,4k,1027,512,28,0.746,sglang_v2,4.88,4.88,True
flash,4k,1027,512,28,0.746,flashinfer_topk,6.712,6.712,True
flash,4k,1027,512,30,0.771,radix_cutedsl,5.8495,5.8495,True
flash,4k,1027,512,30,0.771,sglang_v2,4.7712,4.7712,True
flash,4k,1027,512,30,0.771,flashinfer_topk,6.5744,6.5744,True
flash,4k,1027,512,32,0.633,radix_cutedsl,6.0064,6.0064,True
flash,4k,1027,512,32,0.633,sglang_v2,4.6926,4.6926,True
flash,4k,1027,512,32,0.633,flashinfer_topk,6.5344,6.5344,True
flash,4k,1027,512,34,0.695,radix_cutedsl,6.0944,6.0944,True
flash,4k,1027,512,34,0.695,sglang_v2,4.8159,4.8159,True
flash,4k,1027,512,34,0.695,flashinfer_topk,6.7183,6.7183,True
flash,4k,1027,512,36,0.934,radix_cutedsl,5.4319,5.4319,True
flash,4k,1027,512,36,0.934,sglang_v2,4.9216,4.9216,True
flash,4k,1027,512,36,0.934,flashinfer_topk,6.7359,6.7359,True
flash,4k,1027,512,38,0.742,radix_cutedsl,6.0415,6.0415,True
flash,4k,1027,512,38,0.742,sglang_v2,4.904,4.904,True
