model,isl,N,K,L,BS,hit,op,us,us_span,exact
flash,512k,131075,512,10,512,0.455,radix_cutedsl,369.3492,369.3492,True
flash,512k,131075,512,10,512,0.455,sglang_v2,109.0708,115.7987,True
flash,512k,131075,512,10,512,0.455,flashinfer_topk,184.2874,184.2874,True
flash,512k,131075,512,10,1024,0.455,gvr_pr,272.7407,272.7407,True
flash,512k,131075,512,10,1024,0.455,radix_cutedsl,700.0189,700.0189,True
flash,512k,131075,512,10,1024,0.455,sglang_v2,196.5465,196.5465,True
flash,512k,131075,512,10,1024,0.455,flashinfer_topk,319.4937,319.4937,True
flash,1024k,262127,512,10,1,0.385,gvr_pr,21.2078,21.2078,True
flash,1024k,262127,512,10,1,0.385,radix_cutedsl,19.8349,19.8349,True
flash,1024k,262127,512,10,1,0.385,sglang_v2,17.2111,17.2111,True
