family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,flash,512,bf16,4099,1024,16k,0.34375,27.757,27.318,26.304,1.016,1.0552,1.0386,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,8195,1,32k,0.685546875,11.643,9.786,9.586,1.1898,1.2147,1.0209,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,2,32k,0.685546875,11.443,9.603,9.354,1.1916,1.2234,1.0267,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,4,32k,0.685546875,11.518,9.634,9.429,1.1957,1.2216,1.0217,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,8,32k,0.685546875,11.555,9.726,9.314,1.188,1.2407,1.0443,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,16,32k,0.685546875,11.557,9.757,9.302,1.1845,1.2423,1.0488,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,32,32k,0.685546875,11.699,9.886,9.568,1.1834,1.2227,1.0333,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,64,32k,0.685546875,11.824,10.011,9.717,1.1811,1.2169,1.0303,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,128,32k,0.685546875,12.034,10.232,10.0,1.1761,1.2034,1.0232,True,True,True,cs1/T512/mb0/v128
real,bs,,flash,512,bf16,8195,256,32k,0.685546875,14.909,12.102,11.674,1.2319,1.2771,1.0367,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,8195,512,32k,0.685546875,25.49,20.674,19.81,1.233,1.2867,1.0436,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,8195,1024,32k,0.685546875,39.066,31.162,30.037,1.2536,1.3006,1.0374,True,True,True,cs1/T512/mb3/v128
real,bs,,flash,512,bf16,16387,1,64k,0.076171875,12.685,12.133,12.499,1.0455,1.0148,0.9707,True,True,True,cs1/T512/mb1/v128
